OBJECTI,ROAD_RANK,MAX_SPD,ROAD_NAME_,X01hr,X02hr,X03hr,X04hr,X05hr,X06hr,X07hr,X08hr,X09hr,X10hr,X11hr,X12hr,X13hr,X14hr,X15hr,X16hr,X17hr,X18hr,X19hr,X20hr,X21hr,X22hr,X23hr,X24hr,Average
294744,104,60,Changgyeonggung-ro 35-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150004,104,60,Changuimun-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149847,104,60,Marrunnae-gil,21.366802197802198,23.97508791208791,24.598741758241758,24.75663186813187,22.371052341597796,20.893296703296702,18.57684065934066,17.122274725274725,15.631862637362637,14.273752747252747,13.6408044077135,13.986306849315069,13.526794520547945,12.859293150684932,12.991616438356164,13.318487671232877,13.706725274725274,14.133391780821919,14.470224657534247,15.455752747252747,17.262527472527474,18.77446703296703,19.407090909090908,19.501283746556474,17.358379592071483
149657,104,60,Yulgok-ro 2-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149660,104,60,Sejong-daero 18-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153319,104,60,Cheongwadae-ro,27.10526444263629,28.867271142109853,29.246627680311892,27.638323643410853,29.72392718822618,28.257884615384615,25.97539835164835,25.685473901098902,25.474478021978022,24.811263736263736,24.52211432506887,27.098767123287672,27.105890410958903,26.2561301369863,25.5742602739726,25.503303632625087,25.705725085910654,26.109122686771762,25.61690410958904,26.617438186813185,28.058248626373626,30.51573489010989,29.84052478134111,28.67865889212828,27.08286399520857
149361,104,60,Sejong-daero 23-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149695,104,0,Dorumul-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295188,104,60,Dongho-ro,12.942252747252747,13.672802197802199,14.594903846153846,15.547774725274726,15.930812672176309,15.157760989010988,14.160824175824176,13.63456043956044,12.758626373626374,11.65,10.913650137741048,10.936041095890412,9.882205479452054,9.202369863013699,8.807479452054794,8.574232876712328,8.585,9.0183698630137,9.147657534246575,9.966373626373626,11.231662087912088,12.14456043956044,12.569862258953169,13.255495867768595,11.845219947890596
153342,104,60,Bukchon-ro 4-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150729,104,60,Jong-ro 5-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152868,104,30,Jahamun-ro 9-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149087,104,60,Toegye-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152303,104,60,Changdeokgung-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151374,104,30,Sajik-ro,29.187027472527472,30.29965934065934,31.084747252747253,31.630153846153846,31.865294765840222,31.223664835164836,28.692862637362637,26.88206043956044,25.293576923076923,25.270714285714284,25.454264462809917,27.339457534246577,27.23584109589041,26.36637609649123,25.342900219298247,25.089248491497532,24.954628099173554,24.63675824175824,23.790696271929825,25.08546703296703,27.376923076923077,28.5515,29.233438016528925,30.219719008264462,27.587790810274427
155619,104,60,Namdaemun-ro 7-gil,23.20967032967033,30.445467032967034,27.530453296703296,30.061744505494506,31.095013774104682,27.843543956043955,23.60320054945055,19.659271978021977,21.378502747252746,20.882747252747254,18.87931129476584,21.77795890410959,25.582657534246575,18.347479452054795,21.756027397260276,22.448657534246575,21.32037087912088,21.479589041095892,21.70727397260274,20.29445054945055,20.142774725274727,28.773145604395605,22.007534435261707,26.252520661157025,23.603306975312464
294413,104,30,Hyehwa-ro,22.58199175824176,24.209423076923077,25.23482142857143,26.333076923076923,26.581997245179064,24.552692307692308,22.366016483516482,19.28050824175824,16.11668956043956,14.93010989010989,16.118980716253443,18.17605479452055,18.31295890410959,18.062506849315067,18.026616438356164,17.94978082191781,18.0735989010989,18.049780821917807,17.950041095890413,18.4026510989011,19.237706043956045,19.807156593406592,20.531391184573003,22.186831955922866,20.128057630652002
151996,104,60,Sowol-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149291,104,60,Samil-daero,20.13675824175824,21.465089285714285,22.577925824175825,23.837589285714287,24.663071625344354,25.06680631868132,22.997946428571428,20.061071428571427,18.20294642857143,17.150940934065932,16.30288567493113,16.216397260273972,15.958123287671233,14.362945205479452,12.848739726027397,12.677767123287671,13.004065934065935,13.887949245541838,14.703835616438356,16.53146291208791,18.808324175824175,18.85650412087912,18.871404958677687,20.424731404958678,18.317303435304712
152322,104,60,Bukchon-ro 5-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154158,104,30,Saemunan-ro 2-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154413,104,60,Donhwamun-ro 11-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149075,104,60,Samcheong-ro,29.24743131868132,30.745673076923076,31.905137362637362,32.75570054945055,33.327300275482095,32.58604395604396,30.188846153846153,26.713447802197802,22.883653846153845,22.59730769230769,23.537245179063362,24.41194520547945,21.70041095890411,20.655397260273972,21.12608219178082,21.470164383561645,21.733255494505496,21.430438356164384,19.528205479452055,20.850357142857142,23.40168956043956,25.47243131868132,27.627134986225897,29.799476584022038,25.65394900563063
155890,104,60,Naeja-dong-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
